synpic42072|spine, intradural lipoma
synpic40468|osteomyelitis
synpic45709|c-spine fracture
synpic29651|osteomyelitis
synpic58004|c-spine fracture
synpic26677|focal nodular hyperplasia
synpic32648|comminuted fracture of medial femoral condyle. small joint effusion.
synpic49465|pulmonary embolism
synpic18435|acute appendicitis
synpic32327|ankylosing spondylitis
synpic54520|left aortic arch with aberrant right subclavian artery
synpic42806|pancoast tumor
synpic19183|cirrhosis of the liver
synpic27750|nonossifying fibroma
synpic34409|lumbar herniated disc
synpic32821|pulmonary arteriovenous malformation
synpic29658|lisfranc fracture-dislocation
synpic19010|pulmonary sarcoidosis
synpic38597|pulmonary embolism
synpic38833|angiomyolipoma
synpic17767|cirrhosis of the liver
synpic26669|ewing sarcoma
synpic15790|pulmonary embolism
synpic31821|empyema
synpic50771|spine, epidural abscess
synpic52783|chance-type fracture
synpic19648|empyema
synpic50772|spine, epidural abscess
synpic49087|ankylosing spondylitis
synpic32934|foreign body aspiration
synpic51654|caudal regression syndrome
synpic43460|seminoma
synpic32061|achalasia
synpic17744|round atelectasis
synpic32313|torus fracture/buckle fracture of the distal radius
synpic54528|partial anomalous pulmonary venous return
synpic45066|spinal dural arteriovenous fistula
synpic29750|avascular necrosis of the femoral head
synpic26826|occult stress fracture
synpic46504|hepatic adenoma
synpic28555|pulmonary sarcoidosis
synpic45713|pleomorphic  xanthoastrocytoma, pxa
synpic58399|aneurysm, cerebral
synpic32696|supracondylar fracture
synpic27587|atelectasis
synpic28923|stress fracture
synpic42068|femoral neck stress fractures
synpic26538|acute appendicitis
synpic45941|fractures of the base of the fifth metatarsal
synpic19184|wilms tumor
synpic32151|sarcoidosis
synpic16215|aneurysm, cerebral
synpic55742|amyloidosis
synpic42809|sarcoidosis
synpic22317|osteochondroma
synpic43687|cecal volvulus
synpic32650|comminuted fracture of medial femoral condyle. small joint effusion.
synpic42023|fractures of the base of the fifth metatarsal
synpic46975|multiple osteochondromatosis
synpic31402|chance-type fracture
synpic30680|rheumatoid arthritis
synpic53556|supra-renal inferior vena cava clot
synpic34165|epididymitis
synpic46732|pulmonary embolism
synpic592|neurofibromatosis-1, nf1, nf-1
synpic37873|spinal dural arteriovenous fistula
synpic22661|hiatal hernia
synpic24422|pulmonary sarcoidosis
synpic8222|osteomyelitis
synpic54384|congenital cystic adenomatoid malformation
synpic33440|diverticulitis
synpic32225|empyema
synpic37731|right aortic arch with aberrant left subclavian artery
synpic52604|ankylosing spondylitis
synpic100463|intraosseous lipoma
synpic33849|kohler's disease
synpic56768|dural  fistula, avf
synpic31100|angiomyolipoma
synpic50573|dural  fistula, avf
synpic31079|aspergillosis and the air-crescent sign
synpic32387|avascular necrosis
synpic16908|horseshoe kidney
synpic57721|pleomorphic  xanthoastrocytoma, pxa
synpic29817|idiopathic synovial osteochondromatosis
synpic52848|tophaceous gout
synpic42262|mature cystic teratoma
synpic26529|ovarian torsion
synpic56617|c-spine fracture
synpic17788|invasive lobular carcinoma
synpic24147|pancreatic mucinous cystic neoplasm
synpic60344|neuroblastoma
synpic45046|fractures of the base of the fifth metatarsal
synpic25208|aortic nipple
synpic12950|achalasia
synpic35643|tibial plateau fracture
synpic42586|osteochondritis dissecans
synpic23543|epididymitis
synpic55741|enlarged subarachnoid space
synpic54287|hereditary multiple exostoses
synpic36418|double aortic arch
synpic54750|ankylosing spondylitis
synpic22256|osteomyelitis
synpic24419|right aortic arch with aberrant left subclavian artery
synpic51811|caudal regression syndrome
synpic39317|pulmonary sarcoidosis
synpic16043|parathyroid adenoma
synpic17493|orchitis
synpic22660|pleomorphic  xanthoastrocytoma, pxa
synpic20019|metastatic disease from colonic carcinoma
synpic32645|avascular necrosis
synpic22927|double aortic arch
synpic33991|lumbar herniated disc
synpic22606|occult stress fracture
synpic29192|tibial plateau fracture
synpic23760|right c6 radiculopathy and ankylosing spondylitis
synpic21811|empyema
synpic33438|renal cell carcinoma
synpic18633|acute mesenteric ischemia
synpic32094|calcific tendinitis
synpic53836|coarctation of the aorta
synpic28641|testicular microlithiasis
synpic47202|adenocarcinoma of the lung
synpic31689|liver hemangioma
synpic20036|killian-jamieson diverticulum
synpic56906|spine, epidural abscess
synpic55464|bronchial carcinoid
synpic31298|pulmonary embolism
synpic27975|ewing's sarcoma
synpic39430|partial anomalous pulmonary venous return
synpic47249|amyloidosis
synpic22106|omphalocele
synpic55095|multiple osteochondromatosis
synpic55760|sickle cell anemia
synpic100464|ankylosing spondylitis
synpic46422|tethered spinal cord with terminal spinal lipoma.
synpic54785|ankylosing spondylitis
synpic22997|azygous lobe
synpic31554|vertebral osteomyelitis and diskitis
synpic37252|classic bosniak class iii complex renal cyst
synpic19414|seminoma
synpic33529|atelectasis
synpic23651|acute appendicitis
synpic42200|pulmonary sarcoidosis
synpic31425|hemophilia
synpic28680|sickle cell disease
synpic58391|carotid artery dissection
synpic25413|bicornuate uterus
synpic39188|ankylosing spondylitis
synpic34629|lymphangitic carcinomatosis
synpic24239|infiltrating ductal carcinoma
synpic38839|carotid artery dissection
synpic38605|parathyroid adenoma
synpic32846|zenker's diverticulum
synpic32695|nonossifying fibroma
synpic32681|infiltrating ductal carcinoma
synpic29824|ectopic pregnancy
synpic50613|acute appendicitis
synpic41497|pheochromocytoma
synpic31407|spine, epidural abscess
synpic22987|scaphoid fracture
synpic22656|pulmonary sarcoidosis
synpic36907|aneurysmal bone cyst
synpic15440|hepatic hemangioma
synpic23265|simple bone cyst
synpic21830|horseshoe kidney
synpic24469|pulmonary embolism
synpic51478|erosive osteoarthritis
synpic27181|left aortic arch with aberrant right subclavian artery
synpic23948|tibial plateau fracture
synpic23201|segmental omental infarct
synpic16804|pulmonary arteriovenous malformation
synpic26943|parathyroid adenoma
synpic22594|hemiazygous and azygous continuation of the inferior vena cava
synpic22899|pulmonary lymphangioleiomyomatosis (lam)
synpic21570|avascular necrosis
synpic29756|hemophilia
synpic34122|pseudomembranous colitis
synpic58602|pancoast tumor
synpic40304|crohn's disease
synpic100583|right c6 radiculopathy and ankylosing spondylitis
synpic34711|adenocarcinoma of the gastroesophageal junction
synpic16255|rheumatoid arthritis
synpic16899|ventriculus terminalis
synpic50770|spine, epidural abscess
synpic52302|diffuse large b-cell lymphoma
synpic22449|esophageal foreign body - coin ingestion
synpic51236|femoral neck stress fractures
synpic55265|aberrant right subclavian artery (arsa)
synpic29833|acute appendicitis
synpic25035|pulmonary embolism
synpic57437|c-spine fracture
synpic37400|zenker's diverticulum
synpic31451|adenomyosis
synpic39774|ankylosing spondylitis
synpic19532|histoplasmosis
synpic36694|inguinal hernia involving bladder
synpic31143|acute appendicitis
synpic27931|carotid artery dissection
synpic24698|multiple myeloma presenting originally as a solitary lesion (plasmacytoma)
synpic52605|ankylosing spondylitis
synpic16864|transitional cell carcinoma
synpic17522|sarcoidosis
synpic21173|bronchogenic carcinoma
synpic22340|rickets
synpic18936|rheumatoid arthritis
synpic18787|osteoid osteoma
synpic42576|tibial plateau fracture
synpic39918|fat necrosis
synpic19413|hypertrophic pyloric stenosis
synpic50575|dural  fistula, avf
synpic43618|crossed fused ectopia
synpic45858|angiomyolipoma
synpic40469|fractures of the base of the fifth metatarsal
synpic33432|fractures of the base of the fifth metatarsal
synpic32163|right c6 radiculopathy and ankylosing spondylitis
synpic29230|occult stress fracture
synpic46635|pulmonary embolism
synpic46825|acute appendicitis
synpic56204|lumbar herniated disc
synpic33352|stress fracture
synpic58049|aneurysm, cerebral
synpic23500|pulmonary sarcoidosis
synpic27901|hypertrophic pyloric stenosis
synpic53119|seminoma
synpic27904|acute appendicitis
synpic56630|intramedullary (intradural-intramedullary), spinal lesions
synpic46499|metastatic disease from colonic carcinoma
synpic18534|midgut malrotation
synpic39624|ankylosing spondylitis
synpic31123|bronchogenic carcinoma
synpic55398|femoral neck stress fractures
synpic42066|femoral neck stress fractures
synpic27447|tension pneumothorax
synpic51288|radial head fracture
synpic58680|pyogenic discitis
synpic54521|aberrant right subclavian artery (arsa)
synpic59048|c-spine fracture
synpic28650|acute appendicitis
synpic27243|talocalcaneal coalition
synpic56881|multiple myeloma
synpic55193|hydronephrosis
synpic18613|pneumonia
synpic33243|ewing sarcoma
synpic16256|enchondroma
synpic50752|achalasia
synpic24948|mature cystic teratoma
synpic49454|angiomyolipoma
synpic23787|crohn's disease
synpic21266|pulmonary embolism
synpic31627|aortic dissection
synpic59042|c-spine fracture
synpic32171|amyand's hernia
synpic36231|spine, spinal stenosis
synpic40614|osteochondroma
synpic49071|amyloidosis
synpic32386|osteomyelitis
synpic51653|spondylodiskitis
synpic43619|crossed fused ectopia
synpic32167|diverticulitis
synpic20964|fat necrosis
synpic42218|nonossifying fibroma
synpic22924|duplicated renal collecting system
synpic55295|tethered spinal cord with terminal spinal lipoma
synpic35736|enlarged subarachnoid space
synpic27198|liver hemangioma
synpic21974|occult stress fracture
synpic42590|nonossifying fibroma
synpic15444|hepatic hemangioma
synpic32201|endometrial polyp
synpic20694|colon cancer
synpic52304|fibrous dysplasia
synpic32176|amyand's hernia
synpic54519|partial anomalous pulmonary venous return
synpic42577|occult stress fracture
synpic33850|tibial plateau fracture
